Iteration,State,Action,Reward,Variance Bucket,Variance Bucket Index,Next Variance Bucket Index,Next Variance Bucket Index,Mean Luminance,Luminance Variance,Bright Pixel Ratio,Epsilon
1,1,Balanced,1,Medium,1,Low,0,8.66059,1982.53,0.0942959,0.1
1,1,Light Heavy,1,Medium,1,Low,0,8.66059,1982.53,0.0942959,0.1
2,0,Light Heavy,0,Low,0,Low,0,3.95143,910.855,0.0475386,0.1
3,0,BSDF Heavy,-2,Low,0,High,2,3.97536,918.054,0.0472897,0.1
4,2,BSDF Heavy,0,High,2,High,2,14.8931,3410.9,0.109587,0.1
5,2,BSDF Heavy,0,High,2,High,2,14.9753,3429.69,0.110187,0.1
6,2,BSDF Heavy,0,High,2,High,2,15.0093,3439.45,0.11006,0.1
7,2,BSDF Heavy,0,High,2,High,2,14.9394,3417.66,0.110091,0.1
8,2,BSDF Heavy,0,High,2,High,2,14.9332,3415.94,0.110253,0.1
9,2,BSDF Heavy,0,High,2,High,2,14.8692,3399.89,0.110147,0.1
10,2,BSDF Heavy,0,High,2,High,2,14.8758,3407.28,0.110297,0.1
11,2,BSDF Heavy,0,High,2,High,2,14.8593,3401.24,0.109848,0.1
12,2,BSDF Heavy,0,High,2,High,2,14.8806,3405.04,0.11023,0.1
13,2,BSDF Heavy,0,High,2,High,2,14.865,3404.93,0.10972,0.1
14,2,BSDF Heavy,0,High,2,High,2,14.927,3416.94,0.110473,0.1
15,2,Balanced,1,High,2,Medium,1,14.7801,3383.43,0.109936,0.1
16,1,BSDF Heavy,-1,Medium,1,High,2,8.64173,1976.82,0.0934915,0.1
17,2,Light Heavy,2,High,2,Low,0,14.8633,3404.77,0.109701,0.1
18,0,BSDF Heavy,-2,Low,0,High,2,3.98758,920.29,0.0474769,0.1
19,2,Balanced,1,High,2,Medium,1,14.8882,3406.53,0.110278,0.1
20,1,BSDF Heavy,-1,Medium,1,High,2,8.64893,1978.64,0.0940027,0.1
