Iteration,Using RL?,State,Action,Reward,Variance Bucket,Variance Bucket Index,Next Variance Bucket Index,Next Variance Bucket Index,Mean Luminance,Luminance Variance,Log Luminance Variance,Bright Pixel Ratio,Epsilon
1,RL,0,BSDF Heavy,0,Low,0,Low,0,3.25957,721.745,6.58306,0.0627142,0.049995
2,RL,0,BSDF Heavy,0.00658321,Low,0,Low,0,3.24389,717.002,6.57647,0.0658703,0.04999
3,RL,0,BSDF Heavy,-0.00320768,Low,0,Low,0,3.24433,719.309,6.57968,0.0656812,0.049985
4,RL,0,Balanced,-0.00534868,Low,0,Low,0,3.26656,723.172,6.58503,0.0657635,0.04998
5,RL,0,Light Heavy,-0.00141621,Low,0,Low,0,3.26993,724.198,6.58645,0.0628664,0.049975
6,RL,0,Light Heavy,0.00482225,Low,0,Low,0,3.24976,720.71,6.58162,0.0578429,0.04997
7,RL,0,Light Heavy,0.0045228,Low,0,Low,0,3.23098,717.453,6.5771,0.0573534,0.049965
8,RL,0,Light Heavy,-0.00428534,Low,0,Low,0,3.2436,720.539,6.58139,0.0574625,0.04996
9,RL,0,Light Heavy,0.00726986,Low,0,Low,0,3.22532,715.312,6.57412,0.0576869,0.049955
10,RL,0,Balanced,-0.0140986,Low,0,Low,0,3.26978,725.482,6.58821,0.057866,0.04995
11,RL,0,Balanced,-0.000908852,Low,0,Low,0,3.27776,726.143,6.58912,0.0630623,0.049945
12,RL,0,Balanced,0.00947475,Low,0,Low,0,3.24706,719.286,6.57965,0.0631761,0.04994
13,RL,0,Balanced,-0.00569773,Low,0,Low,0,3.2636,723.402,6.58535,0.0626089,0.049935
14,RL,0,Balanced,0.00224018,Low,0,Low,0,3.25384,721.781,6.58311,0.0627165,0.04993
15,RL,0,Balanced,-0.00222731,Low,0,Low,0,3.25799,723.392,6.58533,0.0624721,0.0499251
16,RL,0,Balanced,0.00205135,Low,0,Low,0,3.24972,721.908,6.58328,0.0622908,0.0499201
17,RL,0,Balanced,0.00698566,Low,0,Low,0,3.23311,716.876,6.5763,0.0626804,0.0499151
18,RL,0,Balanced,-0.00484037,Low,0,Low,0,3.24539,720.359,6.58114,0.0626397,0.0499101
19,RL,0,Balanced,0.00367212,Low,0,Low,0,3.23611,717.715,6.57746,0.0627296,0.0499051
20,RL,0,Balanced,-0.00938797,Low,0,Low,0,3.26523,724.494,6.58685,0.0625559,0.0499001
21,RL,0,Balanced,0.00665808,Low,0,Low,0,3.246,719.679,6.58019,0.0628817,0.0498951
