Iteration,Using RL?,State,Action,Reward,Variance Bucket,Variance Bucket Index,Next Variance Bucket Index,Next Variance Bucket Index,Luminance Bucket,Luminance Bucket Index,Bright Pixel Ratio Bucket,Bright Pixel Ratio Bucket Index,Mean Luminance,Luminance Variance,Log Luminance Variance,Bright Pixel Ratio,Epsilon
1,RL,79,BSDF Heavy,0,High,4,High,4,High,2,Medium,1,3.25957,721.745,6.58306,0.0627142,0.1
2,RL,120,BSDF Heavy,0.658321,High,4,Low,0,High,2,Medium,1,3.24389,717.002,6.57647,0.0658703,0.1
3,RL,121,BSDF Heavy,-0.320768,High,4,Low-Medium,1,High,2,Medium,1,3.24433,719.309,6.57968,0.0656812,0.1
4,RL,124,BSDF Heavy,-0.534868,High,4,High,4,High,2,Medium,1,3.26656,723.172,6.58503,0.0657635,0.1
5,RL,124,BSDF Heavy,0.168467,High,4,High,4,High,2,Medium,1,3.25878,721.953,6.58334,0.0660148,0.1
6,RL,120,BSDF Heavy,0.548315,High,4,Low,0,High,2,Medium,1,3.24109,718,6.57786,0.0656543,0.1
7,RL,120,BSDF Heavy,0.0067234,High,4,Low,0,High,2,Medium,1,3.24298,717.952,6.57779,0.0656029,0.1
8,RL,124,BSDF Heavy,-1.63679,High,4,High,4,High,2,Medium,1,3.28997,729.816,6.59416,0.0658311,0.1
9,RL,105,BSDF Heavy,2.25167,High,4,Low,0,High,2,Medium,1,3.2248,713.545,6.57165,0.065609,0.1
10,RL,124,BSDF Heavy,-1.49131,High,4,High,4,High,2,Medium,1,3.26726,724.28,6.58656,0.0660732,0.1
11,RL,124,BSDF Heavy,0.106382,High,4,High,4,High,2,Medium,1,3.26736,723.509,6.58549,0.0661631,0.1
12,RL,123,BSDF Heavy,0.456762,High,4,Medium-High,3,High,2,Medium,1,3.25584,720.208,6.58093,0.0661684,0.1
13,RL,122,BSDF Heavy,0.0763416,High,4,Medium,2,High,2,Medium,1,3.24972,719.657,6.58016,0.0657781,0.1
14,RL,124,BSDF Heavy,-0.497341,High,4,High,4,High,2,Medium,1,3.26084,723.25,6.58514,0.0657189,0.1
15,RL,124,BSDF Heavy,0.140762,High,4,High,4,High,2,Medium,1,3.25877,722.231,6.58373,0.0657297,0.1
16,RL,124,BSDF Heavy,-0.655508,High,4,High,4,High,2,High,2,3.27568,726.988,6.59028,0.0654123,0.19984
17,RL,105,BSDF Heavy,1.47457,High,4,Low,0,High,2,High,2,3.23871,716.332,6.57554,0.0662215,0.19984
18,RL,124,BSDF Heavy,-1.74308,High,4,High,4,High,2,High,2,3.28916,728.945,6.59297,0.0659356,0.19984
19,RL,124,BSDF Heavy,1.12429,High,4,High,4,High,2,High,2,3.25587,720.784,6.58173,0.0658857,0.19984
20,RL,124,BSDF Heavy,-0.0619888,High,4,High,4,High,2,High,2,3.25476,721.232,6.58235,0.0656728,0.19984
21,RL,124,BSDF Heavy,-0.76046,High,4,High,4,High,2,High,2,3.28006,726.745,6.58995,0.0658741,0.19984
22,RL,121,BSDF Heavy,1.04141,High,4,Low-Medium,1,High,2,High,2,3.24897,719.206,6.57954,0.0656659,0.19984
23,RL,121,BSDF Heavy,0.00152588,High,4,Low-Medium,1,High,2,High,2,3.24378,719.195,6.57952,0.0654776,0.19984
24,RL,105,BSDF Heavy,0.561047,High,4,Low,0,High,2,High,2,3.22751,715.165,6.57391,0.0658326,0.19984
25,RL,124,BSDF Heavy,-0.786066,High,4,High,4,High,2,High,2,3.25372,720.817,6.58177,0.0659786,0.19984
26,RL,105,BSDF Heavy,0.665522,High,4,Low,0,High,2,High,2,3.23282,716.029,6.57512,0.0656966,0.19984
27,RL,124,BSDF Heavy,-0.998926,High,4,High,4,High,2,High,2,3.26392,723.228,6.58511,0.0659387,0.19984
28,RL,124,BSDF Heavy,-0.290489,High,4,High,4,High,2,High,2,3.27722,725.335,6.58801,0.0661077,0.19984
29,RL,105,BSDF Heavy,1.22547,High,4,Low,0,High,2,High,2,3.23739,716.488,6.57576,0.0657673,0.19984
30,RL,124,BSDF Heavy,-0.607967,High,4,High,4,High,2,High,2,3.25661,720.863,6.58184,0.0655752,0.19984
31,RL,124,BSDF Heavy,-0.191879,High,4,High,4,High,2,High,2,3.26236,722.25,6.58375,0.065961,0.19984
32,RL,120,BSDF Heavy,0.559139,Low,0,Low,0,High,2,High,2,3.25078,718.217,6.57816,0.0660194,0.19968
33,RL,124,BSDF Heavy,-0.797653,Low,0,High,4,High,2,High,2,3.26893,723.977,6.58614,0.065984,0.19968
34,RL,120,BSDF Heavy,0.779819,Low,0,Low,0,High,2,High,2,3.24883,718.345,6.57834,0.0658588,0.19968
35,RL,105,BSDF Heavy,0.59557,Low,0,Low,0,High,2,High,2,3.22778,714.074,6.57239,0.0657181,0.19968
36,RL,120,BSDF Heavy,-0.658083,Low,0,Low,0,High,2,High,2,3.24732,718.795,6.57897,0.0656728,0.19968
37,RL,124,BSDF Heavy,-1.01509,Low,0,High,4,High,2,High,2,3.28144,726.139,6.58912,0.0662038,0.19968
38,RL,123,BSDF Heavy,0.819588,Low,0,Medium-High,3,High,2,High,2,3.25185,720.204,6.58092,0.0661162,0.19968
39,RL,124,BSDF Heavy,-0.344896,Low,0,High,4,High,2,High,2,3.2592,722.695,6.58437,0.065712,0.19968
40,RL,124,BSDF Heavy,0.0791073,Low,0,High,4,High,2,High,2,3.26452,722.123,6.58358,0.0658488,0.19968
41,RL,124,BSDF Heavy,-0.54698,Low,0,High,4,High,2,High,2,3.2783,726.089,6.58905,0.0660931,0.19968
42,RL,120,BSDF Heavy,1.07393,Low,0,Low,0,High,2,High,2,3.24442,718.323,6.57831,0.0658365,0.19968
43,RL,124,BSDF Heavy,-1.41225,Low,0,High,4,High,2,High,2,3.28873,728.553,6.59243,0.0659087,0.19968
44,RL,121,BSDF Heavy,1.26376,Low,0,Low-Medium,1,High,2,High,2,3.254,719.392,6.57979,0.0659241,0.19968
45,RL,124,BSDF Heavy,-0.935125,Low,0,High,4,High,2,High,2,3.27907,726.16,6.58915,0.0662399,0.19968
46,RL,122,BSDF Heavy,0.897598,Low,0,Medium,2,High,2,High,2,3.25295,719.662,6.58017,0.065941,0.19968
47,RL,124,BSDF Heavy,-0.758743,Low,0,High,4,High,2,High,2,3.27147,725.151,6.58776,0.0656859,0.19968
48,RL,124,Balanced,0.00591278,High,4,High,4,High,2,High,2,3.27226,725.108,6.5877,0.0658649,0.199521
49,RL,60,Balanced,1.02077,High,4,Low,0,High,2,High,2,3.2387,717.734,6.57749,0.0625936,0.199521
50,RL,60,Balanced,0.0830173,High,4,Low,0,High,2,High,2,3.23359,717.137,6.57666,0.0625936,0.199521
51,RL,75,Balanced,-0.183725,High,4,Low,0,High,2,High,2,3.2433,718.458,6.5785,0.0627196,0.199521
52,RL,60,Balanced,0.593567,High,4,Low,0,High,2,High,2,3.22486,714.2,6.57256,0.0627058,0.199521
53,RL,79,Balanced,-1.57309,High,4,High,4,High,2,High,2,3.27136,725.54,6.58829,0.0630869,0.199521
54,RL,79,Balanced,0.516605,High,4,High,4,High,2,High,2,3.25418,721.796,6.58313,0.0628133,0.199521
55,RL,79,Balanced,-0.692606,High,4,High,4,High,2,High,2,3.27389,726.819,6.59005,0.0630277,0.199521
56,RL,76,Balanced,1.04322,High,4,Low-Medium,1,High,2,High,2,3.24367,719.266,6.57962,0.0625275,0.199521
57,RL,60,Balanced,0.940704,High,4,Low,0,High,2,High,2,3.21587,712.522,6.57021,0.0626504,0.199521
58,RL,60,Balanced,-0.44589,High,4,Low,0,High,2,High,2,3.23027,715.711,6.57467,0.0627265,0.199521
59,RL,75,Balanced,-0.43211,High,4,Low,0,High,2,High,2,3.24512,718.815,6.57899,0.0627757,0.199521
60,RL,60,Balanced,0.211382,High,4,Low,0,High,2,High,2,3.23404,717.295,6.57688,0.0625459,0.199521
61,RL,79,Balanced,-0.470638,High,4,High,4,High,2,High,2,3.24795,720.683,6.58159,0.0627611,0.199521
62,RL,79,Balanced,-0.449419,High,4,High,4,High,2,High,2,3.26955,723.934,6.58608,0.062904,0.199521
63,RL,60,Balanced,1.2166,High,4,Low,0,High,2,High,2,3.22791,715.168,6.57391,0.0627449,0.199521
