Iteration,Using RL?,State,Action,Reward,Variance Bucket,Variance Bucket Index,Next Variance Bucket Index,Next Variance Bucket Index,Mean Luminance,Luminance Variance,Log Luminance Variance,Bright Pixel Ratio,Epsilon
1,Baseline,0,Balanced,0,Low,0,Low,0,22.1857,3845.56,8.25493,0.508282,0.1
2,Baseline,0,Balanced,0,Low,0,Low,0,22.2341,3857.47,8.25803,0.507565,0.1
3,Baseline,0,Balanced,0,Low,0,Low,0,22.1859,3848.72,8.25575,0.507553,0.1
4,Baseline,0,Balanced,0,Low,0,Low,0,22.1638,3842.73,8.2542,0.507612,0.1
5,Baseline,0,Balanced,0,Low,0,Low,0,22.1964,3848.19,8.25562,0.508158,0.1
6,Baseline,0,Balanced,0,Low,0,Low,0,22.2628,3861.42,8.25905,0.508058,0.1
7,Baseline,0,Balanced,0,Low,0,Low,0,22.159,3843.23,8.25433,0.507554,0.1
8,Baseline,0,Balanced,0,Low,0,Low,0,22.2539,3860.44,8.2588,0.508134,0.1
9,Baseline,0,Balanced,0,Low,0,Low,0,22.229,3855.38,8.25749,0.507914,0.1
10,Baseline,0,Balanced,0,Low,0,Low,0,22.214,3854.23,8.25718,0.507404,0.1
11,Baseline,0,Balanced,0,Low,0,Low,0,22.2123,3853.19,8.25692,0.5076,0.1
12,Baseline,0,Balanced,0,Low,0,Low,0,22.1716,3846.9,8.25528,0.507415,0.1
13,Baseline,0,Balanced,0,Low,0,Low,0,22.1491,3842.02,8.25401,0.507551,0.1
14,Baseline,0,Balanced,0,Low,0,Low,0,22.1683,3841.52,8.25388,0.508087,0.1
15,Baseline,0,Balanced,0,Low,0,Low,0,22.1918,3849.91,8.25607,0.507738,0.1
16,Baseline,0,Balanced,0,Low,0,Low,0,22.2158,3853.99,8.25712,0.507427,0.1
17,Baseline,0,Balanced,0,Low,0,Low,0,22.1722,3843.84,8.25449,0.507377,0.1
18,Baseline,0,Balanced,0,Low,0,Low,0,22.1624,3844.2,8.25458,0.507515,0.1
19,Baseline,0,Balanced,0,Low,0,Low,0,22.2148,3855.59,8.25754,0.507369,0.1
20,Baseline,0,Balanced,0,Low,0,Low,0,22.274,3864.87,8.25994,0.507547,0.1
21,Baseline,0,Balanced,0,Low,0,Low,0,22.1956,3846.25,8.25511,0.508065,0.1
22,Baseline,0,Balanced,0,Low,0,Low,0,22.1908,3847.68,8.25549,0.507513,0.1
23,Baseline,0,Balanced,0,Low,0,Low,0,22.1574,3843.74,8.25446,0.507828,0.1
24,Baseline,0,Balanced,0,Low,0,Low,0,22.1828,3847.13,8.25534,0.507459,0.1
25,Baseline,0,Balanced,0,Low,0,Low,0,22.1659,3845.72,8.25498,0.507569,0.1
26,Baseline,0,Balanced,0,Low,0,Low,0,22.2224,3858.23,8.25822,0.507266,0.1
27,Baseline,0,Balanced,0,Low,0,Low,0,22.2508,3860.58,8.25883,0.507931,0.1
28,Baseline,0,Balanced,0,Low,0,Low,0,22.1782,3843.48,8.25439,0.507689,0.1
29,Baseline,0,Balanced,0,Low,0,Low,0,22.2197,3859.14,8.25846,0.507145,0.1
30,Baseline,0,Balanced,0,Low,0,Low,0,22.1876,3850.67,8.25626,0.507495,0.1
31,Baseline,0,Balanced,0,Low,0,Low,0,22.1595,3842.24,8.25407,0.50783,0.1
32,Baseline,0,Balanced,0,Low,0,Low,0,22.2142,3853.85,8.25709,0.50804,0.1
33,Baseline,0,Balanced,0,Low,0,Low,0,22.2199,3854.37,8.25722,0.50816,0.1
34,Baseline,0,Balanced,0,Low,0,Low,0,22.2324,3856.3,8.25772,0.507562,0.1
35,Baseline,0,Balanced,0,Low,0,Low,0,22.2579,3864.29,8.25979,0.507788,0.1
36,Baseline,0,Balanced,0,Low,0,Low,0,22.161,3841.37,8.25385,0.50778,0.1
37,Baseline,0,Balanced,0,Low,0,Low,0,22.2378,3857.54,8.25804,0.5077,0.1
38,Baseline,0,Balanced,0,Low,0,Low,0,22.134,3836.66,8.25262,0.507755,0.1
39,Baseline,0,Balanced,0,Low,0,Low,0,22.1509,3840.17,8.25353,0.507365,0.1
40,Baseline,0,Balanced,0,Low,0,Low,0,22.2114,3849.53,8.25597,0.507843,0.1
41,Baseline,0,Balanced,0,Low,0,Low,0,22.2018,3851.9,8.25658,0.507538,0.1
42,Baseline,0,Balanced,0,Low,0,Low,0,22.2567,3860.34,8.25877,0.507615,0.1
43,Baseline,0,Balanced,0,Low,0,Low,0,22.1425,3839.42,8.25334,0.507751,0.1
44,Baseline,0,Balanced,0,Low,0,Low,0,22.1942,3849.81,8.25604,0.508247,0.1
45,Baseline,0,Balanced,0,Low,0,Low,0,22.1784,3845.28,8.25486,0.507293,0.1
46,Baseline,0,Balanced,0,Low,0,Low,0,22.2115,3851.77,8.25655,0.508212,0.1
47,Baseline,0,Balanced,0,Low,0,Low,0,22.2222,3856.3,8.25772,0.508301,0.1
48,Baseline,0,Balanced,0,Low,0,Low,0,22.2328,3856.36,8.25774,0.508083,0.1
49,Baseline,0,Balanced,0,Low,0,Low,0,22.2655,3865.04,8.25998,0.507632,0.1
50,Baseline,0,Balanced,0,Low,0,Low,0,22.2211,3853.44,8.25698,0.508136,0.1
51,Baseline,0,Balanced,0,Low,0,Low,0,22.2507,3860.95,8.25893,0.508032,0.1
52,Baseline,0,Balanced,0,Low,0,Low,0,22.2141,3855.99,8.25764,0.507431,0.1
53,Baseline,0,Balanced,0,Low,0,Low,0,22.158,3843.21,8.25432,0.507592,0.1
54,Baseline,0,Balanced,0,Low,0,Low,0,22.2157,3854.6,8.25728,0.507811,0.1
55,Baseline,0,Balanced,0,Low,0,Low,0,22.1908,3847.21,8.25536,0.508064,0.1
56,Baseline,0,Balanced,0,Low,0,Low,0,22.2226,3856.86,8.25787,0.507552,0.1
57,Baseline,0,Balanced,0,Low,0,Low,0,22.1692,3841.79,8.25395,0.508002,0.1
58,Baseline,0,Balanced,0,Low,0,Low,0,22.152,3840,8.25349,0.507659,0.1
59,Baseline,0,Balanced,0,Low,0,Low,0,22.2107,3852.14,8.25664,0.507904,0.1
60,Baseline,0,Balanced,0,Low,0,Low,0,22.2148,3856.23,8.2577,0.507579,0.1
61,Baseline,0,Balanced,0,Low,0,Low,0,22.2371,3857.65,8.25807,0.507717,0.1
62,Baseline,0,Balanced,0,Low,0,Low,0,22.1879,3846.71,8.25523,0.507952,0.1
63,Baseline,0,Balanced,0,Low,0,Low,0,22.1876,3848.06,8.25559,0.507455,0.1
64,Baseline,0,Balanced,0,Low,0,Low,0,22.1822,3848.22,8.25563,0.50754,0.1
65,Baseline,0,Balanced,0,Low,0,Low,0,22.1486,3842.3,8.25409,0.507503,0.1
66,Baseline,0,Balanced,0,Low,0,Low,0,22.1968,3848.26,8.25564,0.507409,0.1
67,Baseline,0,Balanced,0,Low,0,Low,0,22.1741,3846.86,8.25527,0.507667,0.1
68,Baseline,0,Balanced,0,Low,0,Low,0,22.2081,3855.07,8.2574,0.507177,0.1
69,Baseline,0,Balanced,0,Low,0,Low,0,22.2469,3862.59,8.25935,0.507356,0.1
70,Baseline,0,Balanced,0,Low,0,Low,0,22.2647,3862.93,8.25944,0.508089,0.1
71,Baseline,0,Balanced,0,Low,0,Low,0,22.2324,3856.9,8.25788,0.507922,0.1
72,Baseline,0,Balanced,0,Low,0,Low,0,22.1656,3842.84,8.25423,0.507214,0.1
73,Baseline,0,Balanced,0,Low,0,Low,0,22.2486,3861.34,8.25903,0.507797,0.1
74,Baseline,0,Balanced,0,Low,0,Low,0,22.1998,3849.73,8.25602,0.508179,0.1
75,Baseline,0,Balanced,0,Low,0,Low,0,22.2675,3865.64,8.26014,0.508202,0.1
76,Baseline,0,Balanced,0,Low,0,Low,0,22.1664,3845.06,8.2548,0.50749,0.1
77,Baseline,0,Balanced,0,Low,0,Low,0,22.1889,3845.84,8.25501,0.507708,0.1
78,Baseline,0,Balanced,0,Low,0,Low,0,22.1998,3851.32,8.25643,0.507584,0.1
79,Baseline,0,Balanced,0,Low,0,Low,0,22.2291,3857.46,8.25802,0.507586,0.1
80,Baseline,0,Balanced,0,Low,0,Low,0,22.2342,3857.98,8.25816,0.507551,0.1
81,Baseline,0,Balanced,0,Low,0,Low,0,22.2425,3860.44,8.2588,0.507967,0.1
82,Baseline,0,Balanced,0,Low,0,Low,0,22.1192,3836.02,8.25245,0.507483,0.1
83,Baseline,0,Balanced,0,Low,0,Low,0,22.2412,3858.27,8.25823,0.508123,0.1
84,Baseline,0,Balanced,0,Low,0,Low,0,22.2472,3862.17,8.25924,0.507739,0.1
85,Baseline,0,Balanced,0,Low,0,Low,0,22.1785,3848.01,8.25557,0.507606,0.1
86,Baseline,0,Balanced,0,Low,0,Low,0,22.2048,3852.53,8.25675,0.508122,0.1
87,Baseline,0,Balanced,0,Low,0,Low,0,22.1801,3846.02,8.25506,0.507505,0.1
88,Baseline,0,Balanced,0,Low,0,Low,0,22.1342,3837.49,8.25284,0.506925,0.1
89,Baseline,0,Balanced,0,Low,0,Low,0,22.1884,3847.15,8.25535,0.508088,0.1
90,Baseline,0,Balanced,0,Low,0,Low,0,22.154,3842.91,8.25425,0.507634,0.1
91,Baseline,0,Balanced,0,Low,0,Low,0,22.2013,3850.01,8.25609,0.507994,0.1
92,Baseline,0,Balanced,0,Low,0,Low,0,22.1469,3840.01,8.25349,0.507399,0.1
93,Baseline,0,Balanced,0,Low,0,Low,0,22.1842,3847.42,8.25542,0.507564,0.1
94,Baseline,0,Balanced,0,Low,0,Low,0,22.1617,3842.6,8.25417,0.507468,0.1
95,Baseline,0,Balanced,0,Low,0,Low,0,22.2225,3856.32,8.25773,0.50783,0.1
96,Baseline,0,Balanced,0,Low,0,Low,0,22.2111,3850.37,8.25618,0.508397,0.1
97,Baseline,0,Balanced,0,Low,0,Low,0,22.259,3863.53,8.25959,0.507886,0.1
98,Baseline,0,Balanced,0,Low,0,Low,0,22.2153,3851.26,8.25642,0.508366,0.1
99,Baseline,0,Balanced,0,Low,0,Low,0,22.2147,3852.85,8.25683,0.507769,0.1
100,Baseline,0,Balanced,0,Low,0,Low,0,22.1925,3847.67,8.25548,0.507943,0.1
101,Baseline,0,Balanced,0,Low,0,Low,0,22.1752,3844.25,8.25459,0.507644,0.1
102,Baseline,0,Balanced,0,Low,0,Low,0,22.2535,3862.6,8.25935,0.507523,0.1
103,Baseline,0,Balanced,0,Low,0,Low,0,22.1833,3847.3,8.25539,0.507708,0.1
104,Baseline,0,Balanced,0,Low,0,Low,0,22.1692,3846.39,8.25515,0.507149,0.1
105,Baseline,0,Balanced,0,Low,0,Low,0,22.2436,3858.85,8.25838,0.507883,0.1
106,Baseline,0,Balanced,0,Low,0,Low,0,22.2163,3855.36,8.25748,0.507626,0.1
