Iteration,Using RL?,State,Action,Reward,Variance Bucket,Variance Bucket Index,Next Variance Bucket Index,Next Variance Bucket Index,Mean Luminance,Luminance Variance,Log Luminance Variance,Bright Pixel Ratio,Epsilon
1,RL,0,Balanced,0,Low,0,Low,0,22.1857,3845.56,8.25493,0.508282,0.049995
2,RL,0,BSDF Heavy,-1,Low,0,Low,0,22.1721,3885.8,8.26534,0.43731,0.04999
3,RL,0,Balanced,-1,Low,0,Low,0,22.1859,3848.72,8.25575,0.507553,0.049985
4,RL,0,Light Heavy,-1,Low,0,Low,0,22.2049,3830.83,8.2511,0.550928,0.04998
5,RL,0,BSDF Heavy,-1,Low,0,Low,0,22.2053,3890.72,8.26661,0.437824,0.049975
6,RL,0,Balanced,-1,Low,0,Low,0,22.2628,3861.42,8.25905,0.508058,0.04997
7,RL,0,Light Heavy,-1,Low,0,Low,0,22.1847,3826.13,8.24987,0.551327,0.049965
8,RL,0,BSDF Heavy,-1,Low,0,Low,0,22.2429,3903.86,8.26998,0.437322,0.04996
9,RL,0,Balanced,-1,Low,0,Low,0,22.229,3855.38,8.25749,0.507914,0.049955
10,RL,0,Light Heavy,-1,Low,0,Low,0,22.1913,3828.79,8.25056,0.550645,0.04995
11,RL,0,BSDF Heavy,-1,Low,0,Low,0,22.2458,3903.78,8.26996,0.437482,0.049945
12,RL,0,Balanced,-1,Low,0,Low,0,22.1716,3846.9,8.25528,0.507415,0.04994
13,RL,0,Light Heavy,-1,Low,0,Low,0,22.1582,3822.62,8.24895,0.551013,0.049935
14,RL,0,BSDF Heavy,-1,Low,0,Low,0,22.2123,3892.03,8.26694,0.43792,0.04993
15,RL,0,Balanced,-1,Low,0,Low,0,22.1918,3849.91,8.25607,0.507738,0.0499251
16,RL,0,Light Heavy,-1,Low,0,Low,0,22.2079,3831,8.25114,0.55102,0.0499201
17,RL,0,BSDF Heavy,-1,Low,0,Low,0,22.1852,3887.9,8.26588,0.437347,0.0499151
18,RL,0,Balanced,-1,Low,0,Low,0,22.1624,3844.2,8.25458,0.507515,0.0499101
19,RL,0,Light Heavy,-1,Low,0,Low,0,22.1808,3827.95,8.25035,0.550429,0.0499051
20,RL,0,BSDF Heavy,-1,Low,0,Low,0,22.2928,3912.09,8.27208,0.437454,0.0499001
21,RL,0,Balanced,-1,Low,0,Low,0,22.1956,3846.25,8.25511,0.508065,0.0498951
22,RL,0,Light Heavy,-1,Low,0,Low,0,22.2033,3829.41,8.25073,0.551364,0.0498901
23,RL,0,BSDF Heavy,-1,Low,0,Low,0,22.1681,3887.19,8.2657,0.437301,0.0498851
24,RL,0,Balanced,-1,Low,0,Low,0,22.1828,3847.13,8.25534,0.507459,0.0498801
25,RL,0,Light Heavy,-1,Low,0,Low,0,22.1346,3816.82,8.24743,0.551352,0.0498752
26,RL,0,BSDF Heavy,-1,Low,0,Low,0,22.1848,3890.42,8.26653,0.437089,0.0498702
27,RL,0,Balanced,-1,Low,0,Low,0,22.2508,3860.58,8.25883,0.507931,0.0498652
28,RL,0,Light Heavy,-1,Low,0,Low,0,22.1749,3821.74,8.24872,0.550911,0.0498602
29,RL,0,BSDF Heavy,-1,Low,0,Low,0,22.2092,3898.29,8.26855,0.436912,0.0498552
30,RL,0,Balanced,-1,Low,0,Low,0,22.1876,3850.67,8.25626,0.507495,0.0498502
31,RL,0,Light Heavy,-1,Low,0,Low,0,22.2108,3833.93,8.25191,0.551174,0.0498452
32,RL,0,BSDF Heavy,-1,Low,0,Low,0,22.206,3895.03,8.26771,0.437441,0.0498403
33,RL,0,Balanced,-1,Low,0,Low,0,22.2199,3854.37,8.25722,0.50816,0.0498353
34,RL,0,Light Heavy,-1,Low,0,Low,0,22.2079,3829.56,8.25076,0.551267,0.0498303
35,RL,0,BSDF Heavy,-1,Low,0,Low,0,22.2352,3903.08,8.26978,0.437232,0.0498253
36,RL,0,Balanced,-1,Low,0,Low,0,22.161,3841.37,8.25385,0.50778,0.0498203
37,RL,0,Light Heavy,-1,Low,0,Low,0,22.2303,3834.2,8.25198,0.551297,0.0498153
38,RL,0,BSDF Heavy,-1,Low,0,Low,0,22.147,3882.71,8.26455,0.436998,0.0498104
39,RL,0,Balanced,-1,Low,0,Low,0,22.1509,3840.17,8.25353,0.507365,0.0498054
40,RL,0,Light Heavy,-1,Low,0,Low,0,22.2123,3830.9,8.25112,0.550949,0.0498004
41,RL,0,BSDF Heavy,-1,Low,0,Low,0,22.1744,3889.58,8.26631,0.436698,0.0497954
42,RL,0,Balanced,-1,Low,0,Low,0,22.2567,3860.34,8.25877,0.507615,0.0497904
43,RL,0,Light Heavy,-1,Low,0,Low,0,22.1545,3820.84,8.24849,0.550878,0.0497855
44,RL,0,BSDF Heavy,-1,Low,0,Low,0,22.178,3887.24,8.26571,0.437129,0.0497805
45,RL,0,Balanced,-1,Low,0,Low,0,22.1784,3845.28,8.25486,0.507293,0.0497755
46,RL,0,Light Heavy,-1,Low,0,Low,0,22.1874,3825.49,8.2497,0.55125,0.0497705
47,RL,0,BSDF Heavy,-1,Low,0,Low,0,22.1904,3892.26,8.267,0.437222,0.0497656
48,RL,0,Balanced,-1,Low,0,Low,0,22.2328,3856.36,8.25774,0.508083,0.0497606
49,RL,0,Light Heavy,-1,Low,0,Low,0,22.2542,3842.98,8.25426,0.551031,0.0497556
50,RL,0,BSDF Heavy,-1,Low,0,Low,0,22.196,3888.81,8.26612,0.437527,0.0497506
51,RL,0,Balanced,-1,Low,0,Low,0,22.2507,3860.95,8.25893,0.508032,0.0497456
52,RL,0,Light Heavy,-1,Low,0,Low,0,22.2242,3835.25,8.25225,0.551026,0.0497407
53,RL,0,BSDF Heavy,-1,Low,0,Low,0,22.149,3881.85,8.26432,0.437025,0.0497357
54,RL,0,Balanced,-1,Low,0,Low,0,22.2157,3854.6,8.25728,0.507811,0.0497307
55,RL,0,Light Heavy,-1,Low,0,Low,0,22.1796,3825.55,8.24972,0.551128,0.0497258
56,RL,0,BSDF Heavy,-1,Low,0,Low,0,22.2168,3895.95,8.26795,0.437038,0.0497208
57,RL,0,Balanced,-1,Low,0,Low,0,22.1692,3841.79,8.25395,0.508002,0.0497158
58,RL,0,Light Heavy,-1,Low,0,Low,0,22.1877,3824.56,8.24946,0.551438,0.0497108
59,RL,0,BSDF Heavy,-1,Low,0,Low,0,22.2163,3895.98,8.26796,0.437191,0.0497059
60,RL,0,Balanced,-1,Low,0,Low,0,22.2148,3856.23,8.2577,0.507579,0.0497009
61,RL,0,Light Heavy,-1,Low,0,Low,0,22.1992,3828.56,8.25051,0.550864,0.0496959
62,RL,0,BSDF Heavy,-1,Low,0,Low,0,22.2061,3889.93,8.2664,0.437975,0.049691
63,RL,0,Balanced,-1,Low,0,Low,0,22.1876,3848.06,8.25559,0.507455,0.049686
64,RL,0,Light Heavy,-1,Low,0,Low,0,22.1629,3821.77,8.24873,0.550713,0.049681
65,RL,0,BSDF Heavy,-1,Low,0,Low,0,22.2022,3893.82,8.2674,0.436907,0.0496761
66,RL,0,Balanced,-1,Low,0,Low,0,22.1968,3848.26,8.25564,0.507409,0.0496711
67,RL,0,Light Heavy,-1,Low,0,Low,0,22.1711,3828.6,8.25051,0.550395,0.0496661
68,RL,0,BSDF Heavy,-1,Low,0,Low,0,22.2231,3900.44,8.2691,0.43716,0.0496612
69,RL,0,Balanced,-1,Low,0,Low,0,22.2469,3862.59,8.25935,0.507356,0.0496562
70,RL,0,Light Heavy,-1,Low,0,Low,0,22.2453,3837.99,8.25296,0.550948,0.0496512
71,RL,0,BSDF Heavy,-1,Low,0,Low,0,22.1829,3888.6,8.26606,0.437613,0.0496463
72,RL,0,Balanced,-1,Low,0,Low,0,22.1656,3842.84,8.25423,0.507214,0.0496413
73,RL,0,Light Heavy,-1,Low,0,Low,0,22.214,3831.25,8.25121,0.551455,0.0496363
74,RL,0,BSDF Heavy,-1,Low,0,Low,0,22.1957,3888.42,8.26601,0.437816,0.0496314
75,RL,0,Balanced,-1,Low,0,Low,0,22.2675,3865.64,8.26014,0.508202,0.0496264
76,RL,0,Light Heavy,-1,Low,0,Low,0,22.19,3828.17,8.2504,0.550966,0.0496214
77,RL,0,BSDF Heavy,-1,Low,0,Low,0,22.1879,3888.38,8.26601,0.437218,0.0496165
78,RL,0,Balanced,-1,Low,0,Low,0,22.1998,3851.32,8.25643,0.507584,0.0496115
79,RL,0,Light Heavy,-1,Low,0,Low,0,22.2276,3836.63,8.25261,0.551378,0.0496066
80,RL,0,BSDF Heavy,-1,Low,0,Low,0,22.2157,3894.89,8.26768,0.437123,0.0496016
81,RL,0,Balanced,-1,Low,0,Low,0,22.2425,3860.44,8.2588,0.507967,0.0495966
82,RL,0,Light Heavy,-1,Low,0,Low,0,22.145,3822.06,8.24881,0.551013,0.0495917
83,RL,0,BSDF Heavy,-1,Low,0,Low,0,22.2122,3895.07,8.26772,0.437536,0.0495867
84,RL,0,Balanced,-1,Low,0,Low,0,22.2472,3862.17,8.25924,0.507739,0.0495818
85,RL,0,Light Heavy,-1,Low,0,Low,0,22.1519,3821.66,8.2487,0.550924,0.0495768
86,RL,0,BSDF Heavy,-1,Low,0,Low,0,22.1798,3890.55,8.26656,0.437251,0.0495718
87,RL,0,Balanced,-1,Low,0,Low,0,22.1801,3846.02,8.25506,0.507505,0.0495669
88,RL,0,Light Heavy,-1,Low,0,Low,0,22.1229,3812.61,8.24633,0.550411,0.0495619
89,RL,0,Balanced,-1,Low,0,Low,0,22.1884,3847.15,8.25535,0.508088,0.049557
90,RL,0,BSDF Heavy,-1,Low,0,Low,0,22.1852,3891.43,8.26679,0.437102,0.049552
91,RL,0,Light Heavy,-1,Low,0,Low,0,22.2041,3828.67,8.25053,0.551357,0.0495471
92,RL,0,Light Heavy,-1,Low,0,Low,0,22.1827,3826.9,8.25007,0.550699,0.0495421
93,RL,0,BSDF Heavy,-1,Low,0,Low,0,22.2402,3900.17,8.26903,0.437292,0.0495372
94,RL,0,Balanced,-1,Low,0,Low,0,22.1617,3842.6,8.25417,0.507468,0.0495322
95,RL,0,BSDF Heavy,-1,Low,0,Low,0,22.1999,3894.67,8.26762,0.436889,0.0495273
96,RL,0,Balanced,-1,Low,0,Low,0,22.2111,3850.37,8.25618,0.508397,0.0495223
97,RL,0,Light Heavy,-1,Low,0,Low,0,22.2275,3838.15,8.25301,0.550853,0.0495173
98,RL,0,BSDF Heavy,-1,Low,0,Low,0,22.1802,3887.59,8.2658,0.437402,0.0495124
99,RL,0,Balanced,-1,Low,0,Low,0,22.2147,3852.85,8.25683,0.507769,0.0495074
100,RL,0,Light Heavy,-1,Low,0,Low,0,22.2047,3830.57,8.25103,0.551218,0.0495025
101,RL,0,BSDF Heavy,-1,Low,0,Low,0,22.1952,3888.42,8.26601,0.437291,0.0494975
102,RL,0,Balanced,-1,Low,0,Low,0,22.2535,3862.6,8.25935,0.507523,0.0494926
103,RL,0,Light Heavy,-1,Low,0,Low,0,22.1651,3822.4,8.2489,0.550968,0.0494876
104,RL,0,BSDF Heavy,-1,Low,0,Low,0,22.1445,3881.28,8.26418,0.437123,0.0494827
105,RL,0,Balanced,-1,Low,0,Low,0,22.2436,3858.85,8.25838,0.507883,0.0494777
106,RL,0,Light Heavy,-1,Low,0,Low,0,22.2189,3833.7,8.25185,0.550604,0.0494728
107,RL,0,BSDF Heavy,-1,Low,0,Low,0,22.2049,3892.02,8.26694,0.437169,0.0494679
108,RL,0,Balanced,-1,Low,0,Low,0,22.1594,3841.27,8.25382,0.50774,0.0494629
109,RL,0,Light Heavy,-1,Low,0,Low,0,22.2048,3830.38,8.25098,0.551413,0.049458
110,RL,0,BSDF Heavy,-1,Low,0,Low,0,22.2045,3891.5,8.26681,0.437105,0.049453
111,RL,0,Balanced,-1,Low,0,Low,0,22.196,3849.35,8.25592,0.507657,0.0494481
112,RL,0,Light Heavy,-1,Low,0,Low,0,22.2018,3828.24,8.25042,0.551049,0.0494431
113,RL,0,BSDF Heavy,-1,Low,0,Low,0,22.2617,3907.25,8.27084,0.437379,0.0494382
114,RL,0,Balanced,-1,Low,0,Low,0,22.1772,3848.95,8.25581,0.50733,0.0494332
115,RL,0,Light Heavy,-1,Low,0,Low,0,22.149,3818.05,8.24776,0.55074,0.0494283
116,RL,0,BSDF Heavy,-1,Low,0,Low,0,22.2984,3913.81,8.27252,0.437407,0.0494234
117,RL,0,Balanced,-1,Low,0,Low,0,22.1567,3842.12,8.25404,0.507449,0.0494184
118,RL,0,Light Heavy,-1,Low,0,Low,0,22.1876,3825.82,8.24979,0.55116,0.0494135
119,RL,0,BSDF Heavy,-1,Low,0,Low,0,22.2035,3893.68,8.26737,0.43732,0.0494085
