Iteration,Using RL?,State,Action,Reward,Variance Bucket,Variance Bucket Index,Next Variance Bucket Index,Next Variance Bucket Index,Mean Luminance,Luminance Variance,Log Luminance Variance,Bright Pixel Ratio,Epsilon
1,Baseline,0,Balanced,0,Low,0,Low,0,21.0256,3552.14,8.17559,0.582303,0.1
2,Baseline,0,Balanced,0,Low,0,Low,0,21.0632,3559.77,8.17773,0.581437,0.1
3,Baseline,0,Balanced,0,Low,0,Low,0,21.0147,3552.82,8.17578,0.581748,0.1
4,Baseline,0,Balanced,0,Low,0,Low,0,21.0157,3553.26,8.1759,0.581941,0.1
5,Baseline,0,Balanced,0,Low,0,Low,0,21.0316,3553.5,8.17597,0.582176,0.1
6,Baseline,0,Balanced,0,Low,0,Low,0,21.0898,3566.38,8.17959,0.582157,0.1
7,Baseline,0,Balanced,0,Low,0,Low,0,20.9827,3545.58,8.17374,0.581475,0.1
8,Baseline,0,Balanced,0,Low,0,Low,0,21.0882,3565.89,8.17945,0.581736,0.1
9,Baseline,0,Balanced,0,Low,0,Low,0,21.0681,3562.45,8.17849,0.582084,0.1
10,Baseline,0,Balanced,0,Low,0,Low,0,21.0396,3557.26,8.17703,0.581718,0.1
11,Baseline,0,Balanced,0,Low,0,Low,0,21.04,3554.88,8.17636,0.581548,0.1
12,Baseline,0,Balanced,0,Low,0,Low,0,21.0011,3549.83,8.17494,0.581238,0.1
13,Baseline,0,Balanced,0,Low,0,Low,0,20.9841,3547,8.17414,0.581681,0.1
14,Baseline,0,Balanced,0,Low,0,Low,0,20.9977,3546.82,8.17409,0.581816,0.1
15,Baseline,0,Balanced,0,Low,0,Low,0,21.0174,3552.29,8.17563,0.581707,0.1
16,Baseline,0,Balanced,0,Low,0,Low,0,21.0355,3554.43,8.17623,0.581662,0.1
17,Baseline,0,Balanced,0,Low,0,Low,0,20.9947,3546.25,8.17393,0.581513,0.1
18,Baseline,0,Balanced,0,Low,0,Low,0,20.9832,3546.18,8.17391,0.581805,0.1
19,Baseline,0,Balanced,0,Low,0,Low,0,21.0292,3554.57,8.17627,0.581644,0.1
20,Baseline,0,Balanced,0,Low,0,Low,0,21.0996,3568.23,8.18011,0.581793,0.1
21,Baseline,0,Balanced,0,Low,0,Low,0,21.0232,3550.36,8.17509,0.582181,0.1
22,Baseline,0,Balanced,0,Low,0,Low,0,21.0292,3552.89,8.1758,0.581742,0.1
23,Baseline,0,Balanced,0,Low,0,Low,0,20.9953,3549.33,8.1748,0.582011,0.1
24,Baseline,0,Balanced,0,Low,0,Low,0,20.9968,3545.46,8.17371,0.582162,0.1
25,Baseline,0,Balanced,0,Low,0,Low,0,21.0076,3550.92,8.17524,0.581673,0.1
26,Baseline,0,Balanced,0,Low,0,Low,0,21.059,3563.91,8.17889,0.581204,0.1
27,Baseline,0,Balanced,0,Low,0,Low,0,21.0647,3561.57,8.17824,0.582197,0.1
28,Baseline,0,Balanced,0,Low,0,Low,0,21.0206,3551.1,8.17529,0.581887,0.1
29,Baseline,0,Balanced,0,Low,0,Low,0,21.0242,3555.13,8.17643,0.581295,0.1
30,Baseline,0,Balanced,0,Low,0,Low,0,21.023,3555.3,8.17648,0.581301,0.1
31,Baseline,0,Balanced,0,Low,0,Low,0,20.9904,3545.22,8.17364,0.582043,0.1
32,Baseline,0,Balanced,0,Low,0,Low,0,21.0419,3557.07,8.17697,0.5824,0.1
33,Baseline,0,Balanced,0,Low,0,Low,0,21.0358,3553.94,8.1761,0.582261,0.1
34,Baseline,0,Balanced,0,Low,0,Low,0,21.061,3562.06,8.17838,0.581561,0.1
35,Baseline,0,Balanced,0,Low,0,Low,0,21.0712,3563.3,8.17872,0.581481,0.1
36,Baseline,0,Balanced,0,Low,0,Low,0,21.0092,3550.11,8.17502,0.581991,0.1
37,Baseline,0,Balanced,0,Low,0,Low,0,21.0562,3558,8.17723,0.581587,0.1
38,Baseline,0,Balanced,0,Low,0,Low,0,20.9484,3538.16,8.17164,0.581723,0.1
39,Baseline,0,Balanced,0,Low,0,Low,0,20.9885,3547.79,8.17436,0.581523,0.1
40,Baseline,0,Balanced,0,Low,0,Low,0,21.0613,3558.75,8.17744,0.582234,0.1
41,Baseline,0,Balanced,0,Low,0,Low,0,21.0364,3555.31,8.17648,0.581483,0.1
42,Baseline,0,Balanced,0,Low,0,Low,0,21.1003,3568.83,8.18027,0.581455,0.1
43,Baseline,0,Balanced,0,Low,0,Low,0,20.9842,3547.32,8.17423,0.58181,0.1
44,Baseline,0,Balanced,0,Low,0,Low,0,21.0248,3554.31,8.1762,0.582079,0.1
45,Baseline,0,Balanced,0,Low,0,Low,0,21.016,3550.92,8.17524,0.581527,0.1
46,Baseline,0,Balanced,0,Low,0,Low,0,21.059,3560.9,8.17805,0.582353,0.1
47,Baseline,0,Balanced,0,Low,0,Low,0,21.0494,3559.37,8.17762,0.582049,0.1
48,Baseline,0,Balanced,0,Low,0,Low,0,21.056,3558.32,8.17732,0.582139,0.1
49,Baseline,0,Balanced,0,Low,0,Low,0,21.0952,3569.29,8.1804,0.581175,0.1
50,Baseline,0,Balanced,0,Low,0,Low,0,21.0606,3559.25,8.17758,0.581899,0.1
51,Baseline,0,Balanced,0,Low,0,Low,0,21.085,3567.31,8.17985,0.582045,0.1
52,Baseline,0,Balanced,0,Low,0,Low,0,21.0156,3552.06,8.17557,0.581805,0.1
53,Baseline,0,Balanced,0,Low,0,Low,0,21.0064,3551.8,8.17549,0.581709,0.1
54,Baseline,0,Balanced,0,Low,0,Low,0,21.0489,3557.44,8.17708,0.581837,0.1
55,Baseline,0,Balanced,0,Low,0,Low,0,21.0076,3548.96,8.17469,0.581762,0.1
56,Baseline,0,Balanced,0,Low,0,Low,0,21.0526,3558.18,8.17728,0.581904,0.1
57,Baseline,0,Balanced,0,Low,0,Low,0,21.0025,3548.06,8.17444,0.581955,0.1
58,Baseline,0,Balanced,0,Low,0,Low,0,20.9681,3540.82,8.1724,0.581776,0.1
59,Baseline,0,Balanced,0,Low,0,Low,0,21.0426,3557.47,8.17709,0.582109,0.1
60,Baseline,0,Balanced,0,Low,0,Low,0,21.036,3556.65,8.17686,0.581942,0.1
61,Baseline,0,Balanced,0,Low,0,Low,0,21.0702,3562.6,8.17853,0.581981,0.1
62,Baseline,0,Balanced,0,Low,0,Low,0,21.015,3550.25,8.17506,0.582124,0.1
63,Baseline,0,Balanced,0,Low,0,Low,0,21.0137,3551.76,8.17548,0.582113,0.1
64,Baseline,0,Balanced,0,Low,0,Low,0,21.0274,3555.38,8.1765,0.581691,0.1
65,Baseline,0,Balanced,0,Low,0,Low,0,20.9848,3547.28,8.17422,0.58114,0.1
66,Baseline,0,Balanced,0,Low,0,Low,0,21.0434,3559.52,8.17766,0.581588,0.1
67,Baseline,0,Balanced,0,Low,0,Low,0,21.0173,3554.68,8.1763,0.581642,0.1
68,Baseline,0,Balanced,0,Low,0,Low,0,21.0367,3558,8.17724,0.58174,0.1
69,Baseline,0,Balanced,0,Low,0,Low,0,21.0591,3561.28,8.17816,0.581241,0.1
70,Baseline,0,Balanced,0,Low,0,Low,0,21.0856,3564.87,8.17916,0.581955,0.1
71,Baseline,0,Balanced,0,Low,0,Low,0,21.0703,3564,8.17892,0.581834,0.1
72,Baseline,0,Balanced,0,Low,0,Low,0,21.0114,3548.48,8.17456,0.58198,0.1
73,Baseline,0,Balanced,0,Low,0,Low,0,21.062,3558.42,8.17735,0.582033,0.1
74,Baseline,0,Balanced,0,Low,0,Low,0,21.041,3556.92,8.17693,0.581909,0.1
75,Baseline,0,Balanced,0,Low,0,Low,0,21.0825,3564.61,8.17909,0.58199,0.1
76,Baseline,0,Balanced,0,Low,0,Low,0,21.0102,3551.24,8.17533,0.581344,0.1
77,Baseline,0,Balanced,0,Low,0,Low,0,21.0141,3547.14,8.17418,0.581858,0.1
78,Baseline,0,Balanced,0,Low,0,Low,0,21.0207,3550.27,8.17506,0.58172,0.1
79,Baseline,0,Balanced,0,Low,0,Low,0,21.0539,3560.19,8.17785,0.581584,0.1
80,Baseline,0,Balanced,0,Low,0,Low,0,21.0597,3561.89,8.17833,0.581608,0.1
81,Baseline,0,Balanced,0,Low,0,Low,0,21.0719,3563.07,8.17866,0.581625,0.1
82,Baseline,0,Balanced,0,Low,0,Low,0,20.9601,3542.15,8.17277,0.581296,0.1
83,Baseline,0,Balanced,0,Low,0,Low,0,21.0624,3560.25,8.17787,0.582054,0.1
84,Baseline,0,Balanced,0,Low,0,Low,0,21.0666,3562.01,8.17836,0.58208,0.1
85,Baseline,0,Balanced,0,Low,0,Low,0,21.0092,3548.44,8.17454,0.581446,0.1
86,Baseline,0,Balanced,0,Low,0,Low,0,21.024,3553.74,8.17604,0.581923,0.1
87,Baseline,0,Balanced,0,Low,0,Low,0,20.9979,3547.59,8.1743,0.581238,0.1
88,Baseline,0,Balanced,0,Low,0,Low,0,20.983,3545.16,8.17362,0.58111,0.1
89,Baseline,0,Balanced,0,Low,0,Low,0,21.0339,3555.61,8.17656,0.58237,0.1
90,Baseline,0,Balanced,0,Low,0,Low,0,21.0026,3550.43,8.17511,0.581361,0.1
91,Baseline,0,Balanced,0,Low,0,Low,0,21.0382,3557.26,8.17703,0.582282,0.1
92,Baseline,0,Balanced,0,Low,0,Low,0,20.9624,3538.85,8.17184,0.581308,0.1
93,Baseline,0,Balanced,0,Low,0,Low,0,21.0084,3549.48,8.17484,0.581546,0.1
94,Baseline,0,Balanced,0,Low,0,Low,0,21.007,3549.1,8.17473,0.581704,0.1
95,Baseline,0,Balanced,0,Low,0,Low,0,21.0378,3555.98,8.17667,0.581732,0.1
96,Baseline,0,Balanced,0,Low,0,Low,0,21.0578,3558.91,8.17749,0.58237,0.1
97,Baseline,0,Balanced,0,Low,0,Low,0,21.0857,3564.44,8.17904,0.582052,0.1
98,Baseline,0,Balanced,0,Low,0,Low,0,21.0535,3557.4,8.17707,0.582253,0.1
99,Baseline,0,Balanced,0,Low,0,Low,0,21.0436,3557.28,8.17703,0.581966,0.1
100,Baseline,0,Balanced,0,Low,0,Low,0,21.0148,3551.63,8.17544,0.581754,0.1
101,Baseline,0,Balanced,0,Low,0,Low,0,21.0211,3552.76,8.17576,0.581351,0.1
102,Baseline,0,Balanced,0,Low,0,Low,0,21.0759,3562.84,8.17859,0.581691,0.1
103,Baseline,0,Balanced,0,Low,0,Low,0,21.0317,3556.26,8.17675,0.581766,0.1
104,Baseline,0,Balanced,0,Low,0,Low,0,20.9964,3549.53,8.17485,0.581299,0.1
105,Baseline,0,Balanced,0,Low,0,Low,0,21.1003,3570.63,8.18078,0.581899,0.1
106,Baseline,0,Balanced,0,Low,0,Low,0,21.0553,3560.67,8.17799,0.581944,0.1
107,Baseline,0,Balanced,0,Low,0,Low,0,21.0781,3561.1,8.17811,0.581406,0.1
108,Baseline,0,Balanced,0,Low,0,Low,0,21.0101,3551.26,8.17534,0.581834,0.1
109,Baseline,0,Balanced,0,Low,0,Low,0,21.0389,3556.42,8.17679,0.581999,0.1
110,Baseline,0,Balanced,0,Low,0,Low,0,21.0131,3551.17,8.17531,0.582037,0.1
111,Baseline,0,Balanced,0,Low,0,Low,0,21.0111,3549.37,8.17481,0.581404,0.1
112,Baseline,0,Balanced,0,Low,0,Low,0,21.0042,3549.79,8.17492,0.581315,0.1
113,Baseline,0,Balanced,0,Low,0,Low,0,21.057,3559.75,8.17773,0.581468,0.1
114,Baseline,0,Balanced,0,Low,0,Low,0,21.0181,3554.45,8.17624,0.581677,0.1
115,Baseline,0,Balanced,0,Low,0,Low,0,20.9847,3543.36,8.17311,0.581984,0.1
116,Baseline,0,Balanced,0,Low,0,Low,0,21.0763,3562.08,8.17838,0.582252,0.1
117,Baseline,0,Balanced,0,Low,0,Low,0,21.0009,3551.34,8.17536,0.581635,0.1
118,Baseline,0,Balanced,0,Low,0,Low,0,21.002,3546.78,8.17408,0.581265,0.1
