Iteration,Using RL?,State,Action,Reward,Variance Bucket,Variance Bucket Index,Next Variance Bucket Index,Next Variance Bucket Index,Mean Luminance,Luminance Variance,Log Luminance Variance,Bright Pixel Ratio,Epsilon
1,RL,0,BSDF Heavy,0,Low,0,Low,0,3.22878,715.194,6.57395,0.0624354,0.049995
2,RL,0,BSDF Heavy,0.00111866,Low,0,Low,0,3.22953,714.394,6.57283,0.0657393,0.04999
3,RL,0,BSDF Heavy,0.00358629,Low,0,Low,0,3.21583,711.833,6.56925,0.0656028,0.049985
4,RL,0,BSDF Heavy,1.4782e-05,Low,0,Low,0,3.22069,711.822,6.56923,0.0659573,0.04998
5,RL,0,BSDF Heavy,-0.000934601,Low,0,Low,0,3.22167,712.489,6.57017,0.0658189,0.049975
6,RL,0,BSDF Heavy,-0.00108624,Low,0,Low,0,3.22177,713.264,6.57125,0.0655633,0.04997
7,RL,0,Balanced,-0.00519276,Low,0,Low,0,3.23849,716.983,6.57645,0.0656843,0.049965
8,RL,0,Balanced,0.0050602,Low,0,Low,0,3.2197,713.359,6.57139,0.0626813,0.04996
9,RL,0,Balanced,-0.00217676,Low,0,Low,0,3.22952,714.915,6.57356,0.0627691,0.049955
10,RL,0,Balanced,0.00506496,Low,0,Low,0,3.21328,711.299,6.5685,0.0623481,0.04995
11,RL,0,Balanced,-0.00325155,Low,0,Low,0,3.22179,713.618,6.57175,0.0626268,0.049945
12,RL,0,Balanced,0.00238514,Low,0,Low,0,3.21207,711.916,6.56936,0.0625998,0.04994
13,RL,0,Balanced,0.0017519,Low,0,Low,0,3.20885,710.668,6.56761,0.0626717,0.049935
14,RL,0,Balanced,0.000488281,Low,0,Low,0,3.20596,710.321,6.56712,0.0624817,0.04993
15,RL,0,Balanced,-0.00853252,Low,0,Low,0,3.23009,716.416,6.57566,0.0623225,0.0499251
16,RL,0,Balanced,0.00245237,Low,0,Low,0,3.22983,714.659,6.5732,0.0626611,0.0499201
17,RL,0,Balanced,0.00429726,Low,0,Low,0,3.21283,711.59,6.56891,0.0625381,0.0499151
18,RL,0,Balanced,-0.00603151,Low,0,Low,0,3.23071,715.901,6.57494,0.0626591,0.0499101
19,RL,0,Balanced,0.0021677,Low,0,Low,0,3.22576,714.349,6.57277,0.0621267,0.0499051
20,RL,0,Balanced,-0.00131321,Low,0,Low,0,3.22919,715.289,6.57408,0.0627339,0.0499001
21,RL,0,Balanced,0.00380564,Low,0,Low,0,3.21956,712.568,6.57028,0.0625034,0.0498951
22,RL,0,Balanced,-0.00161505,Low,0,Low,0,3.22125,713.721,6.57189,0.0624928,0.0498901
23,RL,0,Light Heavy,-0.00482416,Low,0,Low,0,3.23991,717.178,6.57672,0.0627759,0.0498851
24,RL,0,Balanced,-0.00392294,Low,0,Low,0,3.24146,720.001,6.58064,0.0577276,0.0498801
25,RL,0,Balanced,-0.000562668,Low,0,Low,0,3.24882,720.406,6.5812,0.0625873,0.0498752
26,RL,0,Balanced,0.010077,Low,0,Low,0,3.21829,713.173,6.57113,0.0623505,0.0498702
27,RL,0,Balanced,0.000824928,Low,0,Low,0,3.21908,712.584,6.5703,0.0628038,0.0498652
28,RL,0,Balanced,-0.00445223,Low,0,Low,0,3.2289,715.768,6.57475,0.0625945,0.0498602
29,RL,0,Balanced,0.00709867,Low,0,Low,0,3.21193,710.698,6.56765,0.0624585,0.0498552
30,RL,0,Balanced,-0.00173998,Low,0,Low,0,3.21774,711.938,6.56939,0.0626977,0.0498502
31,RL,0,Balanced,-0.003263,Low,0,Low,0,3.22614,714.268,6.57266,0.0625328,0.0498452
32,RL,0,Balanced,-0.00151873,Low,0,Low,0,3.22805,715.355,6.57418,0.0629104,0.0498403
33,RL,0,Balanced,-0.000934124,Low,0,Low,0,3.23191,716.024,6.57511,0.0625612,0.0498353
34,RL,0,Balanced,-0.00083065,Low,0,Low,0,3.2353,716.62,6.57594,0.0626654,0.0498303
35,RL,0,Balanced,-0.000180244,Low,0,Low,0,3.23517,716.75,6.57612,0.0623573,0.0498253
36,RL,0,Balanced,0.00320578,Low,0,Low,0,3.22124,714.452,6.57292,0.06265,0.0498203
37,RL,0,Balanced,-0.000714302,Low,0,Low,0,3.23025,714.964,6.57363,0.0626886,0.0498153
38,RL,0,Balanced,0.000652313,Low,0,Low,0,3.22503,714.497,6.57298,0.0623838,0.0498104
39,RL,0,Balanced,-0.000279903,Low,0,Low,0,3.22189,714.697,6.57326,0.0625101,0.0498054
40,RL,0,Balanced,-0.0027833,Low,0,Low,0,3.2375,716.692,6.57604,0.0628139,0.0498004
41,RL,0,Balanced,0.002913,Low,0,Low,0,3.22309,714.604,6.57313,0.0624368,0.0497954
42,RL,0,Balanced,0.000426769,Low,0,Low,0,3.22459,714.299,6.5727,0.0625801,0.0497904
43,RL,0,Balanced,-0.0055294,Low,0,Low,0,3.24213,718.265,6.57823,0.0627942,0.0497855
44,RL,0,Balanced,3.8147e-05,Low,0,Low,0,3.24216,718.237,6.57819,0.0627759,0.0497805
45,RL,0,Balanced,0.000407219,Low,0,Low,0,3.23997,717.945,6.57778,0.0626741,0.0497755
46,RL,0,Balanced,0.00370312,Low,0,Low,0,3.22755,715.287,6.57408,0.0626886,0.0497705
47,RL,0,Balanced,-0.00237942,Low,0,Low,0,3.23712,716.994,6.57646,0.0626712,0.0497656
48,RL,0,Balanced,-0.00153494,Low,0,Low,0,3.24167,718.096,6.578,0.0627151,0.0497606
